Descriptor name,Description,,,,,,,,,,,,,,,,,,,,,,,,
Apiculus color at post-harvest,Apiculus is the tip of the lemma or palea. Color is examined at post-harvest. Observed in all species (discontinued in wild species in 1992).,,,,,,,,,,,,,,,,,,,,,,,,
Apiculus color at reproductive,Apiculus is the tip of the lemma or palea. Color is examined during reproductive stage. Observed in all species (discontinued in wild species in1992).,,,,,,,,,,,,,,,,,,,,,,,,
Auricle color at vegetative,Auricles are small paired ear-like appendages on either side of the base of the leaf blade. Color is examined at late vegetative stage. Observed in all species (discontinued in wild species in 1991).,,,,,,,,,,,,,,,,,,,,,,,,
Awn color,Awn is a bristle-like extension of varying lengths originating from the lemma of the grain. Color is recorded at reproductive or anthesis stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Awn presence at reproductive,Presence of awn is examined at reproductive or anthesis stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Blade color at vegetative,The uppermost leaf below the flag leaf on the main culm is taken as a representative blade. Color is taken at late vegetative stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Blade pubescence at vegetative,Blade pubescence is the presence of hairs in the blade surface. Recorded at late vegetative stage. Observed in all species (started in wild species in 1992).,,,,,,,,,,,,,,,,,,,,,,,,
Basal leaf sheath color at vegetative,Color of the outer surface of the leaf sheath. Examined on the first leaf below the flag leaf. Recorded at vegetative stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Collar color at vegetative,Collar is the joint between the leaf sheath and leaf blade. Color is examined at late vegetative stage. Observed in cultivated species.,,,,,,,,,,,,,,,,,,,,,,,,
Culm angle at reproductive,Culm angle readings are based on plants grown in the entire plot. - Recorded after flowering. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Culm diameter of basal internode at reproductive,Culm diameter of basal internode is taken in mm (n=3) from the outer diameter of the culm measured at the mid-portion of the culm. Transformed to coded data. Recorded after flowering.,,,,,,,,,,,,,,,,,,,,,,,,
Culm length at reproductive,Culm length is measured in cm from ground level to the base of the panicle (n=5). - Transformed to coded data. Measured at full anthesis. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Culm number at reproductive,Culm or tiller count includes both panicle-bearing and non-bearing tillers (n=5). Transformed to coded data. Recorded after flowering. Observed in cultivated species.,,,,,,,,,,,,,,,,,,,,,,,,
Culm strength at reproductive,Culm strength is characterized by gently pushing the tillers back and forth at a distance of about 30 cm.from the ground. This test gives some indication of brittleness and resilience. Recorded at reproductive stage for cultivated and at harvest for wild.,,,,,,,,,,,,,,,,,,,,,,,,
Endosperm type,The starchy endosperm is classified based on the staining reaction of the cut surface of endosperm (n=5) to weak KI-I solution. Waxy starch stains brown; nonwaxy stains blue black. Examined at post harvest. Observed in all species,,,,,,,,,,,,,,,,,,,,,,,,
