,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,stdardized_mat,fast
0,IRIS 313-9783,Japonica,110.0,AFGHANISTAN,-0.904389248625,False
1,IRIS 313-10509,Indica,164.0,AFRICA,1.359779685,False
2,IRIS 313-9778,Indica,119.0,ARGENTINA,-0.527027759686,False
3,IRIS 313-9980,Japonica,110.0,ARGENTINA,-0.904389248625,False
4,IRIS 313-9795,Indica,135.0,AUSTRALIA,0.143837109537,False
5,IRIS 313-9771,Tropical japonica,119.0,AUSTRIA,-0.527027759686,False
6,IRIS 313-11482,Aus/boro,133.0,BANGLADESH,0.0599790008841,False
7,IRIS 313-11481,Aus/boro,118.0,BANGLADESH,-0.568956814013,False
8,IRIS 313-11483,Aus/boro,107.0,BANGLADESH,-1.0301764116,True
9,IRIS 313-11048,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
10,IRIS 313-11049,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
11,IRIS 313-11050,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
12,IRIS 313-11051,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
13,IRIS 313-11052,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
14,IRIS 313-11053,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
15,IRIS 313-11054,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
16,IRIS 313-11055,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
17,IRIS 313-11056,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
18,IRIS 313-11057,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
19,IRIS 313-11058,Aus/boro,102.0,BANGLADESH,-1.23982168324,True
20,IRIS 313-11059,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
21,IRIS 313-11060,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
22,IRIS 313-8641,Aus/boro,102.0,BANGLADESH,-1.23982168324,True
23,IRIS 313-11061,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
24,IRIS 313-11047,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
25,IRIS 313-8963,Aus/boro,95.0,BANGLADESH,-1.53332506352,True
26,IRIS 313-11123,Aus/boro,137.0,BANGLADESH,0.22769521819,False
27,IRIS 313-11124,Aus/boro,137.0,BANGLADESH,0.22769521819,False
28,IRIS 313-8321,Aus/boro,161.0,BANGLADESH,1.23399252203,False
29,IRIS 313-11064,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
30,IRIS 313-11065,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
31,IRIS 313-11013,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
32,IRIS 313-11014,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
33,IRIS 313-9368,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
34,IRIS 313-9422,Aus/boro,95.0,BANGLADESH,-1.53332506352,True
35,IRIS 313-10587,Aus/boro,123.0,BANGLADESH,-0.359311542381,False
36,IRIS 313-10598,Aus/boro,120.0,BANGLADESH,-0.48509870536,False
37,IRIS 313-11154,Aus/boro,114.0,BANGLADESH,-0.736673031319,False
38,IRIS 313-10594,Aus/boro,120.0,BANGLADESH,-0.48509870536,False
39,IRIS 313-10593,Aus/boro,120.0,BANGLADESH,-0.48509870536,False
40,IRIS 313-10592,Aus/boro,120.0,BANGLADESH,-0.48509870536,False
41,IRIS 313-10595,Aus/boro,120.0,BANGLADESH,-0.48509870536,False
42,IRIS 313-10602,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
43,IRIS 313-10606,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
44,IRIS 313-10604,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
45,IRIS 313-10605,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
46,IRIS 313-11015,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
47,IRIS 313-12141,Aus/boro,111.0,BANGLADESH,-0.862460194298,False
48,IRIS 313-11112,Aus/boro,115.0,BANGLADESH,-0.694743976992,False
49,IRIS 313-8721,Aus/boro,122.0,BANGLADESH,-0.401240596707,False
50,IRIS 313-8410,Aus/boro,114.0,BANGLADESH,-0.736673031319,False
51,IRIS 313-8252,Aus/boro,102.0,BANGLADESH,-1.23982168324,True
52,IRIS 313-11322,Aus/boro,118.0,BANGLADESH,-0.568956814013,False
53,IRIS 313-11323,Aus/boro,118.0,BANGLADESH,-0.568956814013,False
54,IRIS 313-10981,Aus/boro,105.0,BANGLADESH,-1.11403452026,True
55,IRIS 313-11016,Aus/boro,112.0,BANGLADESH,-0.820531139972,False
56,IRIS 313-11324,Aus/boro,104.0,BANGLADESH,-1.15596357458,True
57,IRIS 313-9626,Aus/boro,107.0,BANGLADESH,-1.0301764116,True
58,IRIS 313-11067,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
59,IRIS 313-10963,Aus/boro,95.0,BANGLADESH,-1.53332506352,True
60,IRIS 313-11216,Aus/boro,144.0,BANGLADESH,0.521198598475,False
61,IRIS 313-11116,Aus/boro,133.0,BANGLADESH,0.0599790008841,False
62,IRIS 313-8283,Aus/boro,131.0,BANGLADESH,-0.0238791077689,False
63,IRIS 313-10976,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
64,IRIS 313-12055,Aus/boro,107.0,BANGLADESH,-1.0301764116,True
65,IRIS 313-8789,Aus/boro,104.0,BANGLADESH,-1.15596357458,True
66,IRIS 313-12002,Aus/boro,109.0,BANGLADESH,-0.946318302951,False
67,IRIS 313-9661,Aus/boro,110.0,BANGLADESH,-0.904389248625,False
68,IRIS 313-11017,Aus/boro,92.0,BANGLADESH,-1.6591122265,True
69,IRIS 313-11018,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
70,IRIS 313-11213,Aus/boro,108.0,BANGLADESH,-0.988247357277,False
71,IRIS 313-11163,Aus/boro,118.0,BANGLADESH,-0.568956814013,False
72,IRIS 313-10930,Aus/boro,110.0,BANGLADESH,-0.904389248625,False
73,IRIS 313-11019,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
74,IRIS 313-11982,Aus/boro,105.0,BANGLADESH,-1.11403452026,True
75,IRIS 313-9108,Aus/boro,168.0,BANGLADESH,1.52749590231,False
76,IRIS 313-10964,Aus/boro,95.0,BANGLADESH,-1.53332506352,True
77,IRIS 313-11111,Aus/boro,91.0,BANGLADESH,-1.70104128083,True
78,IRIS 313-11214,Aus/boro,143.0,BANGLADESH,0.479269544149,False
79,IRIS 313-10965,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
80,IRIS 313-10603,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
81,IRIS 313-10600,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
82,IRIS 313-11210,Aus/boro,109.0,BANGLADESH,-0.946318302951,False
